ExpertRole,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,Overall
On-device ML Engineer,8.0,8.3,7.9,7.8,8.0,6.5,7.1,5.9,7.7,7.1,7.4,7.8,7.0,7.6,7.0,6.8,6.3,6.7,7.1,6.0,3.8,6.2,5.5,5.2,8.9,7.1,1.1,8.7,5.6,7.6,5.6,9.0,9.0,8.0,0.9,6.3,7.8,6.2,3.0,8.4,8.7,8.8,6.5,8.7,4.3,8.5,7.4,5.4,7.8,3.4,6.4,4.7,5.7,1.6,8.9,3.8,8.6,4.6,7.0,7.2,8.5,8.2,8.4,7.1,8.5,6.7
LLM Safety Researcher,8.2,8.0,8.1,7.5,8.2,6.7,6.8,6.1,7.4,7.3,7.6,7.5,7.2,7.3,7.2,7.0,6.0,6.9,6.8,6.2,4.0,5.9,5.7,4.9,9.1,7.3,0.8,8.9,5.3,7.8,5.8,8.7,9.2,7.7,1.1,6.5,7.5,6.4,2.7,8.6,8.7,8.3,6.5,8.2,4.3,8.5,7.3,5.8,7.7,3.8,6.8,4.6,6.1,1.5,8.9,4.0,8.3,4.8,6.7,7.6,8.7,8.4,8.6,7.3,8.7,6.7
Open-source Compliance Counsel,8.5,8.3,7.9,7.8,8.0,7.0,7.1,5.9,7.7,7.1,7.9,7.8,7.0,7.6,7.0,7.3,6.3,6.7,7.1,6.0,4.3,6.2,5.5,5.2,8.9,7.6,1.1,8.7,5.6,7.6,6.1,9.0,9.0,8.0,0.9,6.8,7.8,6.2,3.0,8.4,9.2,8.8,6.5,8.7,4.3,9.0,7.6,5.6,8.0,3.6,7.1,4.9,5.9,1.8,8.9,4.3,8.4,4.4,6.8,7.4,8.8,8.5,8.7,7.4,8.8,6.9
Product Manager,8.3,8.6,8.2,7.6,8.3,6.8,7.4,6.2,7.5,7.4,7.5,7.9,7.1,7.2,7.1,6.9,6.4,6.8,6.7,6.1,3.9,6.3,5.6,4.8,9.0,7.4,1.4,9.0,5.4,7.9,5.9,9.5,9.5,8.0,1.4,6.8,8.3,6.7,3.0,8.9,9.0,9.1,6.8,8.5,4.6,8.8,7.9,5.9,7.8,3.9,6.9,5.2,6.2,1.6,9.2,4.1,8.7,4.7,6.6,7.7,8.6,8.3,8.5,7.2,8.6,6.9
Android Power User,8.5,8.3,8.4,7.8,8.0,7.0,7.1,6.4,7.7,7.1,7.7,7.6,7.3,7.4,6.8,7.1,6.1,7.0,6.9,5.8,4.1,6.0,5.8,5.0,8.7,7.4,0.9,9.0,5.4,7.4,5.9,9.2,9.7,8.2,1.1,7.0,8.0,6.9,3.2,8.6,9.2,8.8,7.0,8.7,4.3,9.0,7.6,6.1,8.0,3.6,7.1,4.9,6.4,1.8,8.9,4.3,8.6,5.1,7.0,7.4,8.7,8.4,8.6,7.3,8.7,6.9
Accessibility User Advocate,7.7,8.0,7.6,7.5,7.7,6.2,6.8,5.6,7.4,6.8,7.3,7.7,6.9,7.5,6.9,6.7,6.2,6.6,7.0,5.9,3.7,6.1,5.4,5.1,8.8,7.0,1.0,8.6,5.5,7.5,5.5,9.1,9.1,8.1,1.0,6.4,7.9,6.3,3.1,8.5,8.6,8.7,6.4,8.6,4.2,8.4,7.5,5.5,7.9,3.5,6.5,4.8,5.8,1.7,8.8,3.5,8.3,4.3,6.7,7.3,8.4,8.1,8.3,7.0,8.4,6.6
SAF and File Systems Expert,8.3,8.1,8.2,7.6,8.3,6.8,6.9,6.2,7.5,7.4,7.7,7.6,7.3,7.4,7.3,7.1,6.1,7.0,6.9,6.3,4.1,6.0,5.8,5.0,9.2,7.2,0.7,8.8,5.2,7.7,5.7,9.0,9.5,8.0,1.4,6.8,7.8,6.7,3.0,8.9,8.8,8.4,6.6,8.3,4.4,8.6,7.4,5.9,7.8,3.9,6.9,4.7,6.2,1.6,9.0,4.1,8.4,4.9,6.8,7.7,8.6,8.3,8.5,7.2,8.6,6.8
Telephony Integration Engineer,8.5,8.3,7.9,7.8,8.0,7.0,7.1,5.9,7.7,7.1,7.9,7.8,7.0,7.6,7.0,7.3,6.3,6.7,7.1,6.0,4.3,6.2,5.5,5.2,8.9,7.4,0.9,8.5,5.4,7.4,5.9,9.2,9.2,8.2,1.1,7.0,8.0,6.4,3.2,8.6,9.2,8.8,6.5,8.7,4.3,9.0,7.6,5.6,8.0,3.6,7.1,4.9,5.9,1.8,8.9,4.3,8.6,4.6,7.0,7.4,8.6,8.3,8.5,7.2,8.6,6.9
Widget and Shortcut Expert,8.1,8.4,8.0,7.4,8.1,6.6,7.2,6.0,7.3,7.2,7.3,7.7,6.9,7.0,6.9,6.7,6.2,6.6,6.5,5.9,3.7,6.1,5.4,4.6,8.8,7.2,1.2,8.8,5.2,7.7,5.7,9.3,9.3,7.8,1.2,6.6,8.1,6.5,2.8,8.7,8.8,8.9,6.6,8.3,4.4,8.6,7.7,5.7,7.6,3.7,6.7,5.0,6.0,1.4,9.0,3.9,8.7,4.7,6.6,7.5,8.5,8.2,8.4,7.1,8.5,6.7
Mobile Performance Engineer,8.2,8.0,8.1,7.5,7.7,6.7,6.8,6.1,7.4,6.8,7.6,7.5,7.2,7.3,6.7,7.0,6.0,6.9,6.8,5.7,4.0,5.9,5.7,4.9,8.6,7.3,0.8,8.9,5.3,7.3,5.8,8.9,9.4,7.9,0.8,6.7,7.7,6.6,2.9,8.3,8.9,8.5,6.7,8.4,4.0,8.7,7.1,5.6,7.5,3.1,6.6,4.4,5.9,1.3,8.6,4.0,8.3,4.8,6.7,6.9,8.4,8.1,8.3,7.0,8.4,6.6
Battery and Thermal Engineer,8.0,8.3,7.9,7.8,8.0,6.5,7.1,5.9,7.7,7.1,7.4,7.8,7.0,7.6,7.0,6.8,6.3,6.7,7.1,6.0,3.8,6.2,5.5,5.2,8.9,7.1,1.1,8.7,5.6,7.6,5.6,9.2,9.2,8.2,1.1,6.5,8.0,6.4,3.2,8.6,8.7,8.8,6.5,8.7,4.3,8.5,7.4,5.4,7.8,3.4,6.4,4.7,5.7,1.6,8.9,3.8,8.6,4.6,7.0,7.2,8.4,8.1,8.3,7.0,8.4,6.7
QA Automation Lead,8.1,7.9,8.0,7.4,8.1,6.6,6.7,6.0,7.3,7.2,7.5,7.4,7.1,7.2,7.1,6.9,5.9,6.8,6.7,6.1,3.9,5.8,5.6,4.8,9.0,7.2,0.7,8.8,5.2,7.7,5.7,8.8,9.3,7.8,1.2,6.6,7.6,6.5,2.8,8.7,8.8,8.4,6.6,8.3,4.4,8.6,7.0,5.5,7.4,3.5,6.5,4.3,5.8,1.2,9.0,3.9,8.2,4.7,6.6,7.3,8.4,8.1,8.3,7.0,8.4,6.6
Reliability/SRE Engineer,8.3,8.1,7.7,7.6,7.8,6.8,6.9,5.7,7.5,6.9,7.7,7.6,6.8,7.4,6.8,7.1,6.1,6.5,6.9,5.8,4.1,6.0,5.3,5.0,8.7,7.4,0.9,8.5,5.4,7.4,5.9,9.0,9.0,8.0,0.9,6.8,7.8,6.2,3.0,8.4,9.0,8.6,6.3,8.5,4.1,8.8,7.2,5.2,7.6,3.2,6.7,4.5,5.5,1.4,8.7,4.1,8.4,4.4,6.8,7.0,8.4,8.1,8.3,7.0,8.4,6.6
Google Play Policy Reviewer,8.1,8.4,8.0,7.4,8.1,6.6,7.2,6.0,7.3,7.2,7.5,7.9,7.1,7.2,7.1,6.9,6.4,6.8,6.7,6.1,3.9,6.3,5.6,4.8,9.0,7.2,1.2,8.8,5.2,7.7,5.7,9.3,9.3,7.8,1.2,6.6,8.1,6.5,2.8,8.7,8.6,8.7,6.4,8.1,4.2,8.4,7.7,5.7,7.6,3.7,6.7,5.0,6.0,1.4,8.8,3.9,8.5,4.5,6.4,7.5,8.7,8.4,8.6,7.3,8.7,6.8
Competitive Product Analyst,8.4,8.2,8.3,7.7,7.9,6.9,7.0,6.3,7.6,7.0,7.6,7.5,7.2,7.3,6.7,7.0,6.0,6.9,6.8,5.7,4.0,5.9,5.7,4.9,8.6,7.5,1.0,9.1,5.5,7.5,6.0,9.1,9.6,8.1,1.0,6.9,7.9,6.8,3.1,8.5,9.1,8.7,6.9,8.6,4.2,8.9,7.5,6.0,7.9,3.5,7.0,4.8,6.3,1.7,8.8,4.2,8.3,4.8,6.7,7.3,8.6,8.3,8.5,7.2,8.6,6.8
