ID,Category,Area,"KoSch M2.1","Pixel / Android 16","Nova 8 / 8.1 Beta","Niagara 1.x","Smart Launcher 6.6","Microsoft Launcher","Lawnchair 15 Beta 3",Leader,KoSch_gap_to_leader
C51,"Crash Recovery",Engineering,6.7,9.5,8.8,8.7,8.6,8.0,6.5,"Pixel / Android 16",2.8
C52,"OEM-Kompatibilität",Engineering,4.4,8.5,8.0,7.8,7.8,8.0,7.0,"Pixel / Android 16",4.1
C53,"Akku- und Energieeffizienz",Engineering,6.2,9.1,8.3,8.7,8.2,7.5,7.7,"Pixel / Android 16",2.9
C54,"Observability und Audit",Engineering,1.8,6.0,5.5,5.0,5.2,7.0,7.0,"Microsoft Launcher / Lawnchair 15 Beta 3",5.2
C55,"Privacy-Kommunikation",Security,8.8,7.2,7.0,7.2,7.0,7.5,7.5,"KoSch M2.1",0.0
C56,"Lokalisierung",UX,4.2,9.5,8.8,8.5,8.5,9.0,8.5,"Pixel / Android 16",5.3
C57,"Wettbewerbsdifferenzierung",Product,8.0,7.0,8.6,9.2,8.8,7.8,7.5,"Niagara 1.x",1.2
C58,"Produktionsreife",Product,4.7,9.6,9.0,9.0,8.8,8.8,6.8,"Pixel / Android 16",4.9
C59,"Play-Policy-Readiness",Product,6.8,9.8,8.8,8.8,8.5,9.0,7.5,"Pixel / Android 16",3.0
C60,"Wartbarkeit",Engineering,7.3,9.0,8.4,8.3,8.2,8.0,7.5,"Pixel / Android 16",1.7
